Reference
This Regulation
This Regulation
This Regulation
This Regulation
Chapter 2 of Title V of the TEU
Regulation (EC) No 45/2001
Regulation (EC) No 45/2001
this Regulation
Article 98
This Regulation
Directive 2000/31/EC
Articles 12 to 15 of that Directive
This Regulation
This Regulation
This Regulation
this Regulation
this Regulation
Article 27
this Regulation
Article 51
this Regulation
this Regulation
point (b) of Article 1(1) of Directive (EU) 2015/1535 of the European Parliament and of the Council
Article 89(1)
Article 89(1)
this Regulation
paragraph 1
Point (f) of the first subparagraph
this Regulation
points (c) and (e) of paragraph 1
Chapter IX
point (c) and (e) of paragraph 1
point (e) of paragraph 1
this Regulation
Chapter IX
Article 23(1)
Article 9
Article 10
this Regulation
point (a) of Article 6(1)
Paragraph 1
Paragraph 1
paragraph 1
paragraph 3
Article 89(1)
paragraph 1
point (h) of paragraph 2
Article 6(1)
this Regulation
paragraph 1 of this Article
Articles 15 to 20
those articles
Articles 13 and 14
Articles 15 to 22 and 34
Articles 15 to 22
Article 11(2)
Articles 15 to 22
Articles 15 to 22
Articles 13 and 14
Articles 15 to 22 and 34
Article 11
Articles 15 to 21
Articles 13 and 14
Article 92
point (f) of Article 6(1)
Article 46 or 47
the second subparagraph of Article 49(1)
paragraph 1
point (a) of Article 6(1)
point (a) of Article 9(2)
Article 22(1) and (4)
paragraph 2
Paragraphs 1, 2 and 3
Article 46 or 47
the second subparagraph of Article 49(1)
paragraph 1
point (f) of Article 6(1)
point (a) of Article 6(1)
point (a) of Article 9(2)
Article 22(1) and (4)
paragraphs 1 and 2
paragraph 2
Paragraphs 1 to 4
Article 89(1)
paragraph 1 of this Article
Article 22(1) and (4)
Article 46
paragraph 3
point (a) of Article 6(1)
point (a) of Article 9(2)
Article 21(1)
Article 21(2)
Article 8(1)
paragraph 1
Paragraphs 1 and 2
points (h) and (i) of Article 9(2)
Article 9(3)
Article 89(1)
paragraph 1
Article 21(1)
paragraph 1
paragraph 1
Article 16
Article 17(1)
Article 18
point (a) of Article 6(1)
point (a) of Article 9(2)
point (b) of Article 6(1)
paragraph 1
paragraph 1 of this Article
Article 17
paragraph 1
point (e) or (f) of Article 6(1)
paragraphs 1 and 2
Directive 2002/58/EC
Article 89(1)
Paragraph 1
points (a) and (c) of paragraph 2
paragraph 2
Article 9(1)
point (a) or (g) of Article 9(2)
Articles 12 to 22
Article 34
Article 5
Articles 12 to 22
points (a) to (e) and (g)
paragraph 1
this Regulation
paragraph 1
Article 40
Article 42
this Regulation
Article 42
paragraphs 1 and 2 of this Article
this Regulation
Articles 13 and 14
paragraph 1
paragraph 1
this Regulation
Article 3(2)
paragraph 1 of this Article
Article 9(1)
Article 10
this Regulation
this Regulation
Article 32
paragraphs 2 and 4
Chapter III
Articles 32 to 36
this Article
point (h) of the first subparagraph
this Regulation
paragraph 3
this Regulation
Article 40
Article 42
paragraphs 1 and 4 of this Article
paragraphs 3 and 4 of this Article
paragraphs 7 and 8 of this Article
Articles 42 and 43
paragraph 3 and 4 of this Article
Article 93(2)
paragraph 3 and 4 of this Article
Article 63
paragraphs 3 and 4
Articles 82, 83 and 84
this Regulation
the second subparagraph of Article 49(1)
Article 32(1)
the second subparagraph of Article 49(1)
Article 32(1)
paragraphs 1 and 2
paragraphs 1 and 2
Article 9(1)
Article 10
Article 40
Article 42
paragraph 1 of this Article
Article 55
paragraph 1
this Article
paragraph 1 of this Article
points (b), (c) and (d) of Article 33(3)
paragraph 1
paragraph 1
paragraph 3
paragraph 1
Article 9(1)
Article 10
paragraph 1
Article 68
paragraphs 4 and 5
Article 63
paragraph 1
this Regulation
Article 40
point (c) or (e) of Article 6(1)
paragraphs 1 to 7
Article 35
paragraph 1
this Regulation
Article 58
paragraph 1
this Regulation
Article 35
paragraph 1
Article 9
Article 10
paragraph 1
Article 39
Article 39
this Regulation
this Regulation
this Regulation
Article 35
Article 36
this Regulation
this Regulation
Articles 24 and 25
Article 32
Articles 77 and 79
this Regulation
paragraph 5 of this Article
paragraph 9 of this Article
this Regulation
Article 3
point (e) of Article 46(2)
paragraph 2 of this Article
Article 41(1)
Article 55 or 56
paragraph 2 of this Article
Article 55
this Regulation
paragraph 5
Article 55
Article 63
this Regulation
paragraph 3 of this Article
paragraph 7
this Regulation
paragraph 3
paragraph 8 of this Article
Article 93(2)
paragraph 9
Articles 57 and 58
Article 40
paragraph 1
paragraph 1 of this Article
Article 63
Chapter VIII
paragraph 1 of this Article
paragraph 1
this Regulation
This Article
this Regulation
this Regulation
paragraph 5 of this Article
this Regulation
Article 3
point (f) of Article 46(2)
this Article
this Regulation
Article 55 or 56
this Article
Article 43
Article 58(3)
Article 63
Article 43
Article 43
Articles 57 and 58
point (h) of Article 58(2)
Article 55 or 56
Regulation (EC) No 765/2008 of the European Parliament and of the Council
EN-ISO/IEC 17065/2012
Article 55 or 56
paragraph 1
that paragraph
Article 42(5)
Article 55 or 56
Article 63
paragraphs 1 and 2 of this Article
Article 55 or 56
Article 63
point (b) of paragraph 1 of this Article
Regulation (EC) No 765/2008
